SendDate,SendTime,Solar Power (kW),Solar energy Generation (kWh),consumptionValue (kW)
07-01-2024,00:03:00,144,0,0.37
07-01-2024,00:07:00,144,0,0.39
07-01-2024,00:13:00,144,0,0.37
07-01-2024,00:19:00,144,0,0.38
07-01-2024,00:24:00,144,0,0.38
07-01-2024,00:30:00,144,0,0.37
07-01-2024,00:35:00,144,0,0.37
07-01-2024,00:40:00,144,0,0.37
07-01-2024,00:46:00,144,0,0.36
07-01-2024,00:51:00,144,0,0.38
07-01-2024,00:56:00,144,0,0.37
07-01-2024,01:01:00,144,0,0.37
07-01-2024,01:07:00,144,0,0.37
07-01-2024,01:12:00,144,0,0.37
07-01-2024,01:17:00,144,0,0.37
07-01-2024,01:23:00,144,0,0.37
07-01-2024,01:28:00,144,0,0.36
07-01-2024,01:33:00,144,0,0.35
07-01-2024,01:39:00,144,0,0.34
07-01-2024,01:44:00,144,0,0.35
07-01-2024,01:49:00,144,0,0.34
07-01-2024,01:54:00,144,0,0.34
07-01-2024,01:59:00,144,0,0.35
07-01-2024,02:05:00,144,0,0.34
07-01-2024,02:10:00,144,0,0.34
07-01-2024,02:15:00,144,0,0.35
07-01-2024,02:20:00,144,0,0.34
07-01-2024,02:26:00,144,0,0.35
07-01-2024,02:31:00,144,0,0.35
07-01-2024,02:36:00,144,0,0.35
07-01-2024,02:42:00,144,0,0.34
07-01-2024,02:48:00,144,0,
07-01-2024,02:52:00,144,0,0.34
07-01-2024,02:57:00,144,0,0.35
07-01-2024,03:03:00,144,0,0.37
07-01-2024,03:08:00,144,0,0.38
07-01-2024,03:13:00,144,0,0.38
07-01-2024,03:19:00,144,0,0.38
07-01-2024,03:26:00,144,0,0.39
07-01-2024,03:30:00,144,0,0.35
07-01-2024,03:35:00,144,0,0.35
07-01-2024,03:40:00,144,0,0.36
07-01-2024,03:45:00,144,0,0.37
07-01-2024,03:51:00,144,0,0.36
07-01-2024,03:56:00,144,0,0.35
07-01-2024,04:01:00,144,0,0.36
07-01-2024,04:06:00,144,0,0.35
07-01-2024,04:11:00,144,0,0.35
07-01-2024,04:16:00,144,0,0.35
07-01-2024,04:23:00,144,0,0.35
07-01-2024,04:28:00,144,0,0.37
07-01-2024,04:33:00,144,0,0.35
07-01-2024,04:39:00,144,0,0.35
07-01-2024,04:44:00,144,0,0.35
07-01-2024,04:49:00,144,0,0.34
07-01-2024,04:54:00,144,0,0.35
